2018-12-13 11:10:17,674 Thread number[8] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Main thread is wating for all task to finish there operation
2018-12-13 11:10:17,674 Thread number[10] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Multievent Folder strating his sending process task
2018-12-13 11:10:17,675 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-ParseFolder, - Multieventfolder started his parsing process
2018-12-13 11:10:17,677 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-58-54.mog log file started his parsing process
2018-12-13 11:10:17,746 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-58-54.mog log file has successfuly finished his parsing process
2018-12-13 11:10:17,782 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-59-54.mog log file started his parsing process
2018-12-13 11:10:17,862 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-59-54.mog log file has successfuly finished his parsing process
2018-12-13 11:10:17,931 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-00-54.mog log file started his parsing process
2018-12-13 11:10:17,990 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-00-54.mog log file has successfuly finished his parsing process
2018-12-13 11:10:18,022 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-01-54.mog log file started his parsing process
2018-12-13 11:10:18,063 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-01-54.mog log file has successfuly finished his parsing process
2018-12-13 11:10:18,086 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-02-54.mog log file started his parsing process
2018-12-13 11:10:18,160 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-02-54.mog log file has successfuly finished his parsing process
2018-12-13 11:10:18,190 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-03-54.mog log file started his parsing process
2018-12-13 11:10:18,232 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-03-54.mog log file has successfuly finished his parsing process
2018-12-13 11:10:18,254 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-04-54.mog log file started his parsing process
2018-12-13 11:10:18,288 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-04-54.mog log file has successfuly finished his parsing process
2018-12-13 11:10:18,423 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-05-54.mog log file started his parsing process
2018-12-13 11:10:18,632 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-05-54.mog log file has successfuly finished his parsing process
2018-12-13 11:10:18,675 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-06-54.mog log file started his parsing process
2018-12-13 11:10:18,752 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-06-54.mog log file has successfuly finished his parsing process
2018-12-13 11:10:18,814 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-07-54.mog log file started his parsing process
2018-12-13 11:10:18,888 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-07-54.mog log file has successfuly finished his parsing process
2018-12-13 11:10:18,938 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-08-54.mog log file started his parsing process
2018-12-13 11:10:18,983 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--11-08-54.mog log file has successfuly finished his parsing process
2018-12-13 11:10:19,042 Thread number[10] Log_Level-WARN, File-FileMaintenance.cs, Function-IsFileLocked, - 13-12-18--11-09-54.mog file is in writing mode. cannot be access!
2018-12-13 11:10:19,043 Thread number[10] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-ParseFolder, - Multieventfolder finished his parsing process
2018-12-13 11:10:19,043 Thread number[10] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Json serialazation for Multievent files started
2018-12-13 11:10:19,065 Thread number[10] Log_Level-DEBUG, File-GZipCompresstion.cs, Function-CompressString, - starting GZip compression before sending data to server
2018-12-13 11:10:19,122 Thread number[10] Log_Level-DEBUG, File-GZipCompresstion.cs, Function-CompressString, - GZip compression prccess ended successfully
2018-12-13 11:10:19,582 Thread number[9] Log_Level-DEBUG, File-ServerConnection.cs, Function-MoveNext, - server response OK
2018-12-13 11:10:19,583 Thread number[9] Log_Level-DEBUG, File-ServerConnection.cs, Function-MoveNext, - sending process ended
2018-12-13 11:10:19,583 Thread number[10] Log_Level-INFO, File-LogSender.cs, Function-MoveNext, - Log sender sent 11 files to the server and the server recived them
2018-12-13 11:10:19,584 Thread number[10] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Begin deleteing the files that was sent to the server
2018-12-13 11:10:19,584 Thread number[10] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - starting delete files process
2018-12-13 11:10:19,608 Thread number[10] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-58-54.mog file has deleted
2018-12-13 11:10:19,618 Thread number[10] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-59-54.mog file has deleted
2018-12-13 11:10:19,624 Thread number[10] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--11-00-54.mog file has deleted
2018-12-13 11:10:19,634 Thread number[10] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--11-01-54.mog file has deleted
2018-12-13 11:10:19,644 Thread number[10] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--11-02-54.mog file has deleted
2018-12-13 11:10:19,649 Thread number[10] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--11-03-54.mog file has deleted
2018-12-13 11:10:19,654 Thread number[10] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--11-04-54.mog file has deleted
2018-12-13 11:10:19,661 Thread number[10] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--11-05-54.mog file has deleted
2018-12-13 11:10:19,666 Thread number[10] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--11-06-54.mog file has deleted
2018-12-13 11:10:19,674 Thread number[10] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--11-07-54.mog file has deleted
